id,title,first_name,last_name,birthdate,level_school,graduated,salary
1,Mr,Sadella,Lockie,2/22/1965,4,false,14809.68
2,Mrs,Towny,Grzegorzewicz,12/11/1966,2,false,6042.24
3,Rev,Rustin,Hateley,4/16/1968,5,false,13594.32
4,Rev,Concettina,Nolte,4/9/1987,1,true,21001.2
5,Rev,Woodrow,Emloch,5/30/1968,4,false,6981.12
6,Dr,Luce,Hinsch,10/6/1978,2,true,14811.5
7,Rev,Domini,Truscott,6/11/1977,1,false,14013.36
8,Mr,Griffie,Mardy,9/18/1972,2,true,20125.6
9,Ms,Esmaria,Turfin,4/10/1967,5,true,17432.8
10,Rev,Rowena,Greystock,8/27/1979,5,true,18772.6
11,Dr,Halley,Filasov,8/23/1982,6,true,13114.2
12,Ms,Bobette,Parsonage,5/29/1967,4,true,19085
13,Mr,Verena,Eudall,7/10/1990,4,false,14194.08
14,Ms,Petunia,Howselee,8/27/1961,2,true,19500.8
15,Mrs,Arabela,Venediktov,11/14/1979,5,true,13638.9
16,Rev,Sammy,Wales,4/15/1975,4,true,11039.6
17,Ms,Reynolds,Daniels,12/24/1966,4,false,6313.68
18,Ms,Fabe,McAnulty,10/10/1981,6,true,16102.9
19,Dr,Menard,Simonou,3/21/1964,5,true,16868.5
20,Rev,Davina,Stannering,5/30/1981,2,true,15716.8
21,Rev,Bancroft,Whiffin,8/6/1988,6,false,13530.96
22,Mrs,Austine,Molineaux,8/6/1988,3,true,17311.8
23,Ms,Rosalinde,de Quincey,11/17/1983,4,true,14052.5
24,Ms,Thatch,Vant,4/19/1980,4,false,9650.88
25,Dr,Pen,Meedendorpe,12/4/1982,5,false,7367.76
26,Mrs,Germain,Lichfield,3/4/1989,2,true,21049.6
27,Honorable,Helen-elizabeth,O'Moylane,12/14/1975,3,false,6319.44
28,Rev,Glennis,Copcutt,12/31/1978,6,true,22650.1
29,Mr,Erl,Bantock,6/19/1988,2,true,9650.3
30,Mr,Piggy,Ratnage,7/15/1971,6,true,10771.2
31,Ms,Layne,Denty,6/5/1987,4,false,9396
32,Honorable,Jessika,Gherardelli,3/29/1987,2,false,6846.48
33,Ms,Gilles,Gammons,8/29/1990,4,false,7611.84
34,Mr,Tobie,Hutchison,2/3/1985,2,true,9733.9
35,Mr,Mirna,Pizzey,2/15/1984,3,true,20786.7
36,Mr,Anabelle,Housecroft,12/22/1983,4,true,14591.5
37,Rev,Brocky,Hallick,8/6/1985,6,false,14683.68
38,Mrs,Elke,Bysshe,6/11/1972,4,false,11922.48
39,Mrs,Merwin,Hassan,3/7/1975,4,false,7675.92
40,Dr,Chryste,Saturley,7/27/1988,1,true,14199.9
41,Rev,Dido,Lynagh,11/22/1970,5,true,8950.7
42,Rev,Darline,Nicholls,9/26/1980,2,true,14907.2
43,Dr,Nadiya,Teas,10/18/1968,4,true,22996.6
44,Honorable,Eli,Schukert,10/11/1980,6,false,12387.6
45,Honorable,Elinore,Denisevich,1/24/1961,6,true,19627.3
46,Mrs,Janaya,Hardesty,12/13/1981,1,true,20699.8
47,Ms,Sherwynd,Kruschev,10/6/1965,3,true,11171.6
